,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
884,166.639514,Private room,FALSE,TRUE,2,TRUE,1,0,9,94,1,1.897169062,0.319624274,334.4748806,11.39944339,768.1712104,16.90981253,2.15078,41.37807
885,196.662555,Private room,FALSE,TRUE,2,TRUE,1,0,9,96,1,1.71579884,0.6618765849,364.9833695,12.4392219,712.2760738,15.67938855,2.189,41.393
886,596.0388205,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,8,80,3,2.381001916,0.7790668932,274.1482582,9.343414802,657.4586211,14.4726877,2.142,41.391
887,196.8952917,Private room,FALSE,TRUE,5,FALSE,1,0,10,95,3,1.629946477,0.09736273297,332.3204317,11.3260163,836.3280922,18.41015526,2.15052,41.38692
888,810.1566318,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,97,2,0.9113896456,0.1482238704,853.0916975,29.07474097,1666.95245,36.69475378,2.17906,41.38256
889,1041.7297,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,10,96,2,1.69560224,0.359487905,905.9011445,30.87457209,778.2598663,17.13189489,2.17641,41.40163
890,136.3837364,Private room,FALSE,TRUE,2,FALSE,0,0,9,83,1,0.718965118,0.2200964106,845.7146492,28.82331926,1475.544334,32.48127205,2.17082,41.38069
891,543.9057882,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,9,90,3,1.234846446,0.0887737294,584.724965,19.92836989,1235.281182,27.19234061,2.17643,41.37712
892,417.7624689,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,83,2,1.115186206,0.1803321014,395.605628,13.48287786,980.8757692,21.59209451,2.15974,41.38073
893,457.0949799,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,92,2,2.259575861,0.3956245595,563.3339973,19.1993312,611.8230296,13.46810788,2.17846,41.40647
894,387.5066912,Private room,FALSE,TRUE,2,FALSE,1,0,9,88,1,1.640185922,0.5937354112,376.7027742,12.83863811,752.8679554,16.57294079,2.18855,41.39197
895,341.4248144,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,84,1,1.143677653,0.09435002338,388.1448498,13.2286025,965.7672635,21.2595098,2.15866,41.38139
896,185.2584542,Private room,FALSE,TRUE,2,FALSE,1,0,10,89,1,0.4117666053,0.3347722898,787.9043696,26.85305169,1577.386607,34.72313392,2.17483,41.38637
